date,region,cum_cases,cum_deaths
2020-02-11,Galicia,1,0
2020-02-12,Galicia,1,0
2020-02-13,Galicia,1,0
2020-02-14,Galicia,1,0
2020-02-15,Galicia,1,0
2020-02-16,Galicia,1,0
2020-02-17,Galicia,1,0
2020-02-18,Galicia,1,0
2020-02-19,Galicia,1,0
2020-02-20,Galicia,1,0
2020-02-21,Galicia,1,0
2020-02-22,Galicia,1,0
2020-02-23,Galicia,1,0
2020-02-24,Galicia,1,0
2020-02-25,Galicia,1,0
2020-02-26,Galicia,1,0
2020-02-27,Galicia,1,0
2020-02-28,Galicia,1,0
2020-02-29,Galicia,1,0
2020-03-01,Galicia,1,0
2020-03-02,Galicia,1,0
2020-03-03,Galicia,2,0
2020-03-04,Galicia,4,0
2020-03-05,Galicia,5,0
2020-03-06,Galicia,7,0
2020-03-07,Galicia,15,0
2020-03-08,Galicia,20,0
2020-03-09,Galicia,29,0
2020-03-10,Galicia,42,0
2020-03-11,Galicia,64,0
2020-03-12,Galicia,101,0
2020-03-13,Galicia,143,0
2020-03-14,Galicia,186,1
2020-03-15,Galicia,251,2
2020-03-16,Galicia,342,3
2020-03-17,Galicia,453,5
2020-03-18,Galicia,630,5
2020-03-19,Galicia,786,6
2020-03-20,Galicia,1061,11
2020-03-21,Galicia,1308,16
2020-03-22,Galicia,1545,20
2020-03-23,Galicia,1859,24
2020-03-24,Galicia,2225,31
2020-03-25,Galicia,2650,38
2020-03-26,Galicia,3052,47
2020-03-27,Galicia,3477,58
2020-03-28,Galicia,3932,77
2020-03-29,Galicia,4241,88
2020-03-30,Galicia,4640,115
2020-03-31,Galicia,4961,135
2020-04-01,Galicia,5240,157
2020-04-02,Galicia,5577,182
2020-04-03,Galicia,5885,209
2020-04-04,Galicia,6092,226
2020-04-05,Galicia,6276,253
2020-04-06,Galicia,6529,269
2020-04-07,Galicia,6757,297
2020-04-08,Galicia,6973,309
2020-04-09,Galicia,7186,331
2020-04-10,Galicia,7343,362
2020-04-11,Galicia,7462,375
2020-04-12,Galicia,7552,389
2020-04-13,Galicia,7689,401
2020-04-14,Galicia,7858,417
2020-04-15,Galicia,7961,429
2020-04-16,Galicia,8038,440
2020-04-17,Galicia,8127,452
2020-04-18,Galicia,8216,471
2020-04-19,Galicia,8281,477
2020-04-20,Galicia,8350,487
2020-04-21,Galicia,8432,501
2020-04-22,Galicia,8489,509
2020-04-23,Galicia,8586,515
2020-04-24,Galicia,8640,528
2020-04-25,Galicia,8686,536
2020-04-26,Galicia,8717,542
2020-04-27,Galicia,8770,551
2020-04-28,Galicia,8816,553
2020-04-29,Galicia,8859,556
2020-04-30,Galicia,8898,564
2020-05-01,Galicia,8930,568
2020-05-02,Galicia,8954,574
2020-05-03,Galicia,8978,580
2020-05-04,Galicia,9003,584
2020-05-05,Galicia,9020,590
2020-05-06,Galicia,9051,593
2020-05-07,Galicia,9075,594
2020-05-08,Galicia,9089,598
2020-05-09,Galicia,9107,599
2020-05-10,Galicia,9122,599
2020-05-11,Galicia,9126,600
2020-05-12,Galicia,9146,601
2020-05-13,Galicia,9158,604
2020-05-14,Galicia,9162,604
2020-05-15,Galicia,9171,605
2020-05-16,Galicia,9176,606
2020-05-17,Galicia,9178,607
2020-05-18,Galicia,9184,607
2020-05-19,Galicia,9199,608
2020-05-20,Galicia,9209,608
2020-05-21,Galicia,9214,610
2020-05-22,Galicia,9233,611
2020-05-23,Galicia,9244,612
2020-05-24,Galicia,9246,613
2020-05-25,Galicia,9248,613
2020-05-26,Galicia,9252,614
2020-05-27,Galicia,9254,614
2020-05-28,Galicia,9257,614
2020-05-29,Galicia,9262,615
2020-05-30,Galicia,9265,615
2020-05-31,Galicia,9265,615
2020-06-01,Galicia,9265,616
2020-06-02,Galicia,9268,617
2020-06-03,Galicia,9269,617
2020-06-04,Galicia,9273,617
2020-06-05,Galicia,9275,617
2020-06-06,Galicia,9277,617
2020-06-07,Galicia,9278,617
2020-06-08,Galicia,9279,617
2020-06-09,Galicia,9283,617
2020-06-10,Galicia,9283,618
2020-06-11,Galicia,9284,618
2020-06-12,Galicia,9287,618
2020-06-13,Galicia,9288,618
2020-06-14,Galicia,9289,618
2020-06-15,Galicia,9292,618
2020-06-16,Galicia,9292,618
2020-06-17,Galicia,9295,618
2020-06-18,Galicia,9297,618
2020-06-19,Galicia,9298,618
2020-06-20,Galicia,9300,618
2020-06-21,Galicia,9305,618
2020-06-22,Galicia,9305,618
2020-06-23,Galicia,9308,618
2020-06-24,Galicia,9316,618
2020-06-25,Galicia,9325,618
2020-06-26,Galicia,9327,618
2020-06-27,Galicia,9335,618
2020-06-28,Galicia,9341,618
2020-06-29,Galicia,9349,618
2020-06-30,Galicia,9358,618
2020-07-01,Galicia,9375,618
2020-07-02,Galicia,9386,618
2020-07-03,Galicia,9418,618
2020-07-04,Galicia,9444,618
2020-07-05,Galicia,9468,618
2020-07-06,Galicia,9474,618
2020-07-07,Galicia,9508,618
2020-07-08,Galicia,9534,618
2020-07-09,Galicia,9568,618
2020-07-10,Galicia,9575,618
2020-07-11,Galicia,9583,618
2020-07-12,Galicia,9589,618
2020-07-13,Galicia,9594,618
2020-07-14,Galicia,9604,618
2020-07-15,Galicia,9615,618
2020-07-16,Galicia,9630,618
2020-07-17,Galicia,9639,618
2020-07-18,Galicia,9644,618
2020-07-19,Galicia,9650,618
2020-07-20,Galicia,9660,618
2020-07-21,Galicia,9679,618
2020-07-22,Galicia,9688,618
2020-07-23,Galicia,9714,618
2020-07-24,Galicia,9743,618
2020-07-25,Galicia,9766,618
2020-07-26,Galicia,9776,618
2020-07-27,Galicia,9785,618
2020-07-28,Galicia,9805,618
2020-07-29,Galicia,9827,618
2020-07-30,Galicia,9857,618
2020-07-31,Galicia,9896,618
2020-08-01,Galicia,9922,618
2020-08-02,Galicia,9953,618
2020-08-03,Galicia,9981,618
2020-08-04,Galicia,10023,618
2020-08-05,Galicia,10070,618
2020-08-06,Galicia,10149,618
2020-08-07,Galicia,10248,619
2020-08-08,Galicia,10329,619
2020-08-09,Galicia,10404,621
2020-08-10,Galicia,10489,621
2020-08-11,Galicia,10609,621
2020-08-12,Galicia,10731,621
2020-08-13,Galicia,10875,622
2020-08-14,Galicia,11020,622
2020-08-15,Galicia,11170,624
2020-08-16,Galicia,11296,624
2020-08-17,Galicia,11409,624
2020-08-18,Galicia,11578,624
2020-08-19,Galicia,11776,625
2020-08-20,Galicia,12054,626
2020-08-21,Galicia,12294,629
2020-08-22,Galicia,12516,631
2020-08-23,Galicia,12721,632
2020-08-24,Galicia,12900,632
2020-08-25,Galicia,13229,632
2020-08-26,Galicia,13482,633
2020-08-27,Galicia,13759,633
2020-08-28,Galicia,14098,636
2020-08-29,Galicia,14389,639
2020-08-30,Galicia,14654,641
2020-08-31,Galicia,14838,643
2020-09-01,Galicia,15090,644
2020-09-02,Galicia,15373,649
2020-09-03,Galicia,15633,652
2020-09-04,Galicia,15872,655
2020-09-05,Galicia,16135,658
2020-09-06,Galicia,16346,660
2020-09-07,Galicia,16572,662
2020-09-08,Galicia,16831,665
2020-09-09,Galicia,17092,673
2020-09-10,Galicia,17357,675
2020-09-11,Galicia,17583,678
2020-09-12,Galicia,17783,680
2020-09-13,Galicia,18057,686
2020-09-14,Galicia,18270,692
2020-09-15,Galicia,18436,695
2020-09-16,Galicia,18669,700
2020-09-17,Galicia,18967,703
2020-09-18,Galicia,19216,707
2020-09-19,Galicia,19459,714
2020-09-20,Galicia,19637,717
2020-09-21,Galicia,19869,718
2020-09-22,Galicia,20169,719
2020-09-23,Galicia,20367,722
2020-09-24,Galicia,20621,724
2020-09-25,Galicia,20839,726
2020-09-26,Galicia,21051,728
2020-09-27,Galicia,21218,733
2020-09-28,Galicia,21358,735
2020-09-29,Galicia,21522,741
2020-09-30,Galicia,21709,746
2020-10-01,Galicia,21920,747
